exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_wmd	P_wmd	OR_egger	P_egger	egger_intercept_P	Q_pval	P_fdr	P_bonf
catalase	alzheimer	8	1.0036606463967	0.971459219365626	1.0369294696521	0.82616784883397	1.01188189314889	0.577354258930059	1.02886014076485	0.389904837138322	0.373745407634979	0.699705122806796	0.976510481846338	1
ureA	stroke_isch	10	0.994500357457672	0.945635162546356	1.04589063536959	0.830129901260571	0.998168649645002	0.954893441544783	1.08174388938665	0.289931288967121	0.230284906549128	0.311414957015952	0.976510481846338	1
catalase	uc	8	0.990294191892435	0.903888315364114	1.08495991133688	0.834145666690455	0.997846971022312	0.970559631038204	0.960196725136305	0.654593951224843	0.685878856897244	0.835492737684704	0.976510481846338	1
omp	ida	7	0.992886595582944	0.925640937002651	1.06501749466755	0.841858790946586	1.00463383236146	0.920172591298929	1.14402643157793	0.160871308360335	0.111993427524813	0.516297195775647	0.976510481846338	1
hpylori_general	uc	11	1.03890360382555	0.706643581692916	1.52739050633698	0.846097393746951	0.893331755154604	0.66928333569586	0.759315741999689	0.676231329239363	0.61651964835442	0.36528138546523	0.976510481846338	1
ureA	asthma	3	0.982390781667693	0.814091275925935	1.18548334375403	0.852991213242755	0.905499242429163	0.364658713328748	1.77940755395026	0.382681204482708	0.367240210203982	0.257156457739969	0.976510481846338	1
omp	pancan	7	1.02106598903952	0.815481144767817	1.27847928877631	0.8557835949207	1.05749599214763	0.709137589467675	0.874583908607184	0.648801257558822	0.561213982265177	0.401766662712974	0.976510481846338	1
vacA	ms	6	0.991726942666257	0.902657196857959	1.08958565027087	0.862630696895793	0.960278348217847	0.512071494439657	1.17621803945078	0.374051853117069	0.333883442912495	0.318446700940848	0.976510481846338	1
cagA	ms	3	0.980348358031761	0.762376958016849	1.26064001933586	0.877061614611262	0.955358517263383	0.589960522119235	1.25218542763552	0.828676734815577	0.810270703636203	0.0526726882383798	0.976510481846338	1
ureA	afib	10	1.00231426436005	0.972744624373437	1.03278276678911	0.879739172834539	1.01855535473428	0.370439013485394	1.01729301468343	0.689059647542442	0.709226101670232	0.518049180064134	0.976510481846338	1
cagA	crc	13	1.00273637975012	0.95988371735534	1.04750213915981	0.902399740076358	1.04676896780844	0.120916201676619	0.962335404696769	0.491578013333905	0.419306929129572	0.414788450889189	0.99149741876501	1
groEL	crohn	4	0.991676466459555	0.830557923607693	1.18405012603819	0.926380460192022	0.970692384660451	0.784006198956563	1.15748879995665	0.594912026699657	0.547018741565189	0.555945201800326	0.99149741876501	1
ureA	ms	6	1.00446906772581	0.903956297320024	1.11615806096957	0.933935345272947	0.99503041292299	0.942067214029873	0.99715730580634	0.988721664957364	0.969819567767073	0.557097372481439	0.99149741876501	1
hpylori_general	itp	10	1.05563677726286	0.280695001926977	3.97003508384458	0.936145930976973	1.96667426403963	0.360626712477663	4.67777932562093	0.516034222600047	0.510432401182106	0.0513491852853342	0.99149741876501	1
vacA	crc	14	1.0017201139175	0.958327918286137	1.0470770677551	0.939366091104728	1.02566691320506	0.43926654991777	1.07174053835198	0.166378898621873	0.127274586085638	0.71967290850895	0.99149741876501	1
catalase	pancan	8	1.00644696832248	0.833214147904018	1.21569647202174	0.946835372874694	0.944751753252625	0.621278867982585	0.802326375083653	0.224001041045859	0.150573106948517	0.193996173097269	0.99149741876501	1
groEL	ms	3	0.99367026256039	0.765576872105553	1.28972102825058	0.961934824715055	1.11994293995817	0.296336422394452	0.241460714543025	0.667642342586442	0.668272486674935	0.0380002811556149	0.994692994362292	1
groEL	itp	4	0.993264283720583	0.649398137973312	1.51921275966995	0.975132179812728	1.02492867059885	0.922518268403963	1.55013895868072	0.537884834313842	0.502252616225542	0.351260548535779	0.994692994362292	1
hpylori_general	crohn	11	0.993088191894917	0.505287786809056	1.95180683687057	0.983948508970564	0.953359667074585	0.874480300738383	0.390277354107379	0.405876653266631	0.384399977399442	0.00206566036038467	0.994692994362292	1
groEL	pancan	4	1.00281366429105	0.737027557780742	1.36444727835809	0.985731796214884	1.00834751501263	0.964817077277085	1.0673164767627	0.908889878580628	0.905757464122611	0.353657019976576	0.994692994362292	1
hpylori_general	parkinson	9	1.0001717813912	0.633242698275412	1.57971595253384	0.999412308960147	0.945988592946603	0.855174861920468	1.4317976564975	0.699085916253264	0.689037552780115	0.957602687432934	0.999412308960147	1
