exposure	outcome	eas_id	n_snp	OR_eas	L95_eas	U95_eas	P_eas	OR_wmd_eas	P_wmd_eas	OR_eur	L95_eur	U95_eur	P_eur	dir_concordant
hpylori_general	afib	ebi-a-GCST004296	9	1.16554595392495	0.732451299527923	1.85472723112976	0.518065244911261	1.47445650203344	0.113740867245809	1.07643021924686	0.911122820998353	1.27172977144641	0.386594904278172	TRUE
groEL	uc	ebi-a-GCST90018713	4	1.27499634899526	0.564251128955987	2.88101451025729	0.559143909170421	1.35337925537577	0.582650062926797	1.02857191003273	0.873003550437771	1.2118623957232	0.736336567331307	TRUE
vacA	uc	ebi-a-GCST90018713	7	1.09175862695219	0.811578708623917	1.46866457542429	0.56177573531138	1.0369098724853	0.841353096519945	0.942858556953148	0.880770715406545	1.00932313355745	0.0904580595897151	FALSE
cagA	cad	bbj-a-159	7	0.986122999142839	0.940040635297642	1.03446439752104	0.567114807005077	1.00558663197567	0.83017522691349	0.997258640525297	0.965906969382333	1.02962793273801	0.866236498796654	TRUE
omp	pancan	bbj-a-140	6	1.09340538269905	0.799444901082817	1.49545682172211	0.576205562765355	1.01409539921244	0.94662054223459	0.926966706971194	0.770488142982294	1.11522452831927	0.42143610912851	FALSE
cagA	parkinson	ebi-a-GCST90018674	5	1.10913606749759	0.744314337431101	1.65277323619726	0.610764421996946	1.0567776490852	0.81669299959989	1.00334117376461	0.937099823865878	1.07426496658421	0.923742884353631	TRUE
catalase	uc	ebi-a-GCST90018713	3	1.19813699498769	0.59592499215504	2.40891433931446	0.611941888814742	1.14361540554456	0.736446187394692	1.00651994160882	0.923513924191829	1.09698659253327	0.882347210059639	TRUE
vacA	afib	ebi-a-GCST004296	9	1.01449245921662	0.959419939782128	1.07272624544483	0.613371910308669	1.02558626617029	0.504739928955426	0.998540192452048	0.977614512851856	1.0199137828197	0.892456870095325	FALSE
hpylori_general	stroke_isch	bbj-a-129	4	0.894463953298162	0.58019049020494	1.37897083329851	0.61355604367341	0.97059593890387	0.909543436933788	0.850523382690445	0.703576210758232	1.02816157431419	0.0943240126914947	TRUE
hpylori_general	cad	bbj-a-159	3	0.859569754174565	0.473033003648521	1.56196323849047	0.61948181905996	0.786605204822738	0.268280626787996	1.05868681451199	0.901492658585474	1.24329106903678	0.486789441369231	FALSE
omp	stroke_isch	bbj-a-129	6	0.987130887628421	0.935588714996041	1.0415125510724	0.635923802561971	0.979722821744222	0.561900260858201	0.969272297556423	0.919616775747473	1.02160901321823	0.244748283550671	TRUE
ureA	parkinson	ebi-a-GCST90018674	6	0.924853558651479	0.639937342957752	1.33662164642074	0.67757563868533	0.926764372087577	0.756943781820097	1.06584314144597	0.970324072362324	1.17076514385723	0.183145835816174	FALSE
cagA	atopic	bbj-a-90	9	1.02849959047424	0.900267423159049	1.17499687358875	0.6791604503368	0.95084982212228	0.468291379125837	1.01647610956452	0.984141269211552	1.04987333997607	0.321786787693994	TRUE
vacA	cad	bbj-a-159	7	1.00923627368711	0.965499132334787	1.05495470893148	0.684202041479606	1.00451801862402	0.859219945769974	0.984501446960997	0.961353585816524	1.00820667168477	0.198192199449137	FALSE
catalase	asthma	bbj-a-88	3	0.958380013379176	0.776260586420909	1.18322669746708	0.692588277196039	0.922145347623504	0.304124788022173					FALSE
ureA	ida	ebi-a-GCST90018652	6	0.98181172827587	0.886470082632405	1.08740756023887	0.724694196124149	1.01101837935312	0.867732454878362	1.01246225253769	0.963766516143471	1.06361841342607	0.62237990549427	FALSE
