exposure	outcome	n_snp	OR_noHLA	L95_noHLA	U95_noHLA	P_ivw_noHLA	P_fdr_noHLA	OR_primary	L95_primary	U95_primary	P_ivw_primary	P_fdr_primary	delta_OR	P_changed_dir
vacA	pancan	14	0.952816430886236	0.846698951352103	1.07223370185709	0.422381959276055	0.976510481846338	0.961343592094806	0.8618280802527	1.07235018588715	0.479500079200201	0.994532972966802	-0.00852716120856989	FALSE
ureA	uc	10	0.963531703312734	0.868373763423544	1.06911721932796	0.483773792617549	0.976510481846338	0.963531703312734	0.868373763423544	1.06911721932796	0.483773792617549	0.994532972966802	2.22044604925031e-16	FALSE
hpylori_general	cad	9	1.05868681451199	0.901492658585474	1.24329106903678	0.486789441369231	0.976510481846338	1.05868681451199	0.901492658585474	1.24329106903678	0.486789441369231	0.994532972966802	2.22044604925031e-16	FALSE
vacA	atopic	13	1.01639803696738	0.98345657210546	1.05044289585608	0.333242380889191	0.976510481846338	1.01114131914708	0.979837323036889	1.0434454202231	0.489857933857974	0.994532972966802	0.0052567178203029	FALSE
catalase	ms	4	0.959613376059984	0.85307783646079	1.0794534708974	0.492325403553973	0.976510481846338	0.959613376059984	0.85307783646079	1.0794534708974	0.492325403553973	0.994532972966802	-2.22044604925031e-16	FALSE
catalase	stroke_isch	7	1.01228750346996	0.963765497714122	1.06325241162078	0.626036830133039	0.976510481846338	1.0153703437534	0.971506746906099	1.06121438503355	0.498405231669415	0.994532972966802	-0.00308284028344197	FALSE
groEL	crc	4	1.03539940201144	0.924568430246096	1.15951603647152	0.547013645351962	0.976510481846338	1.03539940201144	0.924568430246096	1.15951603647152	0.547013645351962	0.994532972966802	-1.99840144432528e-15	FALSE
cagA	alzheimer	9	1.00854427937736	0.981849910238394	1.0359644105053	0.534171870673773	0.976510481846338	1.00763127849321	0.982895544430736	1.03298951668959	0.54883656561965	0.994532972966802	0.000913000884148474	FALSE
hpylori_general	ida	10	0.934757770979066	0.745646131943167	1.17183212381011	0.558530589364511	0.976510481846338	0.934757770979066	0.745646131943167	1.17183212381011	0.558530589364511	0.994532972966802	0	FALSE
ureA	ra	8	0.976651989948891	0.901307663280305	1.05829468485778	0.564098620467619	0.976510481846338	0.976651989948891	0.901307663280305	1.05829468485778	0.564098620467619	0.994532972966802	-3.33066907387547e-16	FALSE
groEL	afib	4	0.979601270420346	0.911513002255675	1.05277560126343	0.574980937610811	0.976510481846338	0.979601270420346	0.911513002255675	1.05277560126343	0.574980937610811	0.994532972966802	-1.11022302462516e-16	FALSE
catalase	sle	7	0.965964900520379	0.851683746485437	1.0955805988876	0.589866264848322	0.976510481846338	0.965964900520379	0.851683746485437	1.0955805988876	0.589866264848322	0.994532972966802	3.33066907387547e-16	FALSE
ureA	t2d	5	0.973613351868031	0.881637423514468	1.07518457548796	0.597379126732515	0.976510481846338	0.973613351868031	0.881637423514468	1.07518457548796	0.597379126732515	0.994532972966802	-3.33066907387547e-16	FALSE
catalase	afib	8	1.01165280977166	0.979225183606876	1.04515429612335	0.485805950545773	0.976510481846338	1.00821632870632	0.977711465528764	1.03967295189722	0.601657345776795	0.994532972966802	0.00343648106534489	FALSE
ureA	crohn	10	1.04132784299357	0.886735325022711	1.2228718604008	0.621372079545932	0.976510481846338	1.04132784299357	0.886735325022711	1.2228718604008	0.621372079545932	0.994532972966802	-4.66293670342566e-15	FALSE
ureA	ida	10	1.01246225253769	0.963766516143471	1.06361841342607	0.62237990549427	0.976510481846338	1.01246225253769	0.963766516143471	1.06361841342607	0.62237990549427	0.994532972966802	-3.99680288865056e-15	FALSE
groEL	asthma	3	1.0421626615797	0.873999484090858	1.24268152666091	0.645531200765698	0.976510481846338	1.0421626615797	0.873999484090858	1.24268152666091	0.645531200765698	0.994532972966802	-4.66293670342566e-15	FALSE
hpylori_general	sle	7	0.851872230179583	0.41039336799167	1.76827003833519	0.667009464502647	0.976510481846338	0.851872230179583	0.41039336799167	1.76827003833519	0.667009464502647	0.994532972966802	3.33066907387547e-16	FALSE
hpylori_general	pancan	10	0.855887277569049	0.419546478009736	1.74603546996659	0.668794314176554	0.976510481846338	0.855887277569049	0.419546478009736	1.74603546996659	0.668794314176554	0.994532972966802	0	FALSE
vacA	ra	11	1.01369894109775	0.950216669077352	1.08142234989466	0.680077157049956	0.976510481846338	0.982714531897488	0.906074355982546	1.06583730664716	0.673829865096383	0.994532972966802	0.0309844092002668	FALSE
groEL	sle	4	1.07120022604343	0.768753249858142	1.49263749387367	0.684495255853419	0.976510481846338	1.07120022604343	0.768753249858142	1.49263749387367	0.684495255853419	0.994532972966802	1.11022302462516e-15	FALSE
vacA	crc	14	1.0017201139175	0.958327918286137	1.0470770677551	0.939366091104728	0.99149741876501	0.992455333803955	0.952779761677033	1.03378307266123	0.715985121516156	0.994532972966802	0.00926478011354726	FALSE
groEL	atopic	4	1.02242355495406	0.906423410554637	1.15326889569771	0.718152971995648	0.976510481846338	1.02242355495406	0.906423410554637	1.15326889569771	0.718152971995648	0.994532972966802	1.55431223447522e-15	FALSE
ureA	pancan	10	0.959031476628633	0.756861004045165	1.2152051278224	0.729101502650318	0.976510481846338	0.959031476628633	0.756861004045165	1.2152051278224	0.729101502650318	0.994532972966802	4.44089209850063e-16	FALSE
groEL	uc	4	1.02857191003273	0.873003550437771	1.2118623957232	0.736336567331307	0.976510481846338	1.02857191003273	0.873003550437771	1.2118623957232	0.736336567331307	0.994532972966802	-2.88657986402541e-15	FALSE
ureA	alzheimer	10	0.994040207300346	0.959730724980125	1.02957622175759	0.738714230562202	0.976510481846338	0.994040207300346	0.959730724980125	1.02957622175759	0.738714230562202	0.994532972966802	-1.11022302462516e-16	FALSE
groEL	parkinson	4	1.02826442858491	0.871864636760548	1.21272006056077	0.740566702667467	0.976510481846338	1.02826442858491	0.871864636760548	1.21272006056077	0.740566702667467	0.994532972966802	-3.99680288865056e-15	FALSE
groEL	ra	4	1.03506186156712	0.84346838191453	1.27017571759953	0.741418778417041	0.976510481846338	1.03506186156712	0.84346838191453	1.27017571759953	0.741418778417041	0.994532972966802	3.77475828372553e-15	FALSE
vacA	parkinson	14	0.970889066883245	0.903878561451558	1.04286750498832	0.41813730787727	0.976510481846338	1.01180353416736	0.942661345458234	1.08601715418373	0.745233362871166	0.994532972966802	-0.0409144672841144	FALSE
omp	cad	6	1.02234049874454	0.965080588173746	1.08299773944377	0.452453442263852	0.976510481846338	1.00781476977956	0.957065543065002	1.06125501805558	0.767766049384271	0.994532972966802	0.0145257289649756	FALSE
ureA	sle	9	1.01741588648812	0.901296704111781	1.14849536379757	0.780053603145746	0.976510481846338	1.01741588648812	0.901296704111781	1.14849536379757	0.780053603145746	0.994532972966802	2.22044604925031e-15	FALSE
hpylori_general	ms	3	1.1585027863379	0.378679897820038	3.5442301365321	0.796491017255351	0.976510481846338	1.1585027863379	0.378679897820038	3.5442301365321	0.796491017255351	0.994532972966802	-2.66453525910038e-15	FALSE
hpylori_general	atopic	10	1.02780370759397	0.832929197702533	1.26827161811318	0.798199348495299	0.976510481846338	1.02780370759397	0.832929197702533	1.26827161811318	0.798199348495299	0.994532972966802	-4.66293670342566e-15	FALSE
cagA	itp	13	0.921356402813336	0.796320854216729	1.06602460115165	0.27100025974842	0.976510481846338	0.980693146416895	0.841927669965413	1.14232977693747	0.802231903569339	0.994532972966802	-0.0593367436035593	FALSE
hpylori_general	alzheimer	11	0.97240208608284	0.780152419251754	1.21202702662276	0.803351625122776	0.976510481846338	0.97240208608284	0.780152419251754	1.21202702662276	0.803351625122776	0.994532972966802	-3.33066907387547e-16	FALSE
vacA	alzheimer	14	0.996784526536476	0.972045811577873	1.02215284558422	0.801677890373166	0.976510481846338	0.997104140375629	0.974026611505527	1.02072844315566	0.808207637704457	0.994532972966802	-0.000319613839152799	FALSE
catalase	pancan	8	1.00644696832248	0.833214147904018	1.21569647202174	0.946835372874694	0.99149741876501	1.02039608387514	0.860584411421262	1.2098849969501	0.816280330536899	0.994532972966802	-0.013949115552657	FALSE
omp	t2d	3	0.971326694036745	0.84506690463357	1.1164507110327	0.682175591168832	0.976510481846338	1.01286087149939	0.906814643583641	1.1313085339693	0.820836625267591	0.994532972966802	-0.0415341774626454	FALSE
ureA	stroke_isch	10	0.994500357457672	0.945635162546356	1.04589063536959	0.830129901260571	0.976510481846338	0.994500357457672	0.945635162546356	1.04589063536959	0.830129901260571	0.994532972966802	0	FALSE
catalase	ida	8	0.986638754119412	0.936619817175541	1.03932888593565	0.612328450513923	0.976510481846338	0.994708623871812	0.946945798262725	1.04488054989018	0.832637593014452	0.994532972966802	-0.00806986975240021	FALSE
cagA	pancan	13	0.9664678534562	0.858946616366872	1.08744838615824	0.570843816793695	0.976510481846338	0.988125969068118	0.882471634519798	1.10642981887811	0.835981656058627	0.994532972966802	-0.0216581156119179	FALSE
hpylori_general	uc	11	1.03890360382555	0.706643581692916	1.52739050633698	0.846097393746951	0.976510481846338	1.03890360382555	0.706643581692916	1.52739050633698	0.846097393746951	0.994532972966802	1.77635683940025e-15	FALSE
ureA	asthma	3	0.982390781667693	0.814091275925935	1.18548334375403	0.852991213242755	0.976510481846338	0.982390781667693	0.814091275925935	1.18548334375403	0.852991213242755	0.994532972966802	2.22044604925031e-16	FALSE
cagA	cad	5	1.01331484204114	0.983335520529477	1.0442081544537	0.388002517907667	0.976510481846338	0.997258640525297	0.965906969382333	1.02962793273801	0.866236498796654	0.994532972966802	0.0160562015158396	FALSE
ureA	afib	10	1.00231426436005	0.972744624373437	1.03278276678911	0.879739172834539	0.976510481846338	1.00231426436005	0.972744624373437	1.03278276678911	0.879739172834539	0.994532972966802	2.44249065417534e-15	FALSE
catalase	uc	8	0.990294191892435	0.903888315364114	1.08495991133688	0.834145666690455	0.976510481846338	1.00651994160882	0.923513924191829	1.09698659253327	0.882347210059639	0.994532972966802	-0.0162257497163848	FALSE
vacA	afib	14	0.995312559404379	0.974116174209867	1.0169701696121	0.668794852297902	0.976510481846338	0.998540192452048	0.977614512851856	1.0199137828197	0.892456870095325	0.994532972966802	-0.0032276330476686	FALSE
omp	atopic	7	1.02134763357011	0.961577856526404	1.0848325816981	0.492364394919143	0.976510481846338	1.00687889511402	0.903329358286266	1.12229841765506	0.901464318034885	0.994532972966802	0.0144687384560918	FALSE
cagA	crc	13	1.00273637975012	0.95988371735534	1.04750213915981	0.902399740076358	0.99149741876501	1.00229434364761	0.96260822202979	1.04361663272485	0.911472913965887	0.994532972966802	0.000442036102514809	FALSE
cagA	parkinson	9	0.982720799713736	0.912585590298209	1.05824613105542	0.644514295788502	0.976510481846338	1.00334117376461	0.937099823865878	1.07426496658421	0.923742884353631	0.994532972966802	-0.0206203740508738	FALSE
groEL	crohn	4	0.991676466459555	0.830557923607693	1.18405012603819	0.926380460192022	0.99149741876501	0.991676466459555	0.830557923607693	1.18405012603819	0.926380460192022	0.994532972966802	-4.44089209850063e-16	FALSE
