exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_egger	P_egger	OR_wmedian	P_wmedian	OR_wmode	P_wmode	P_egger_intercept	Q_pval	presso_global_p	P_bonf	P_fdr
omp	parkinson	7	1.04208071496089	0.936346891390025	1.15975417495253	0.450172784747991	0.907858447585505	0.51238493956586	1.05453550348438	0.457784445775774	1.08876450620032	0.488088434295577	0.323074253509599	0.824745082646317	0.828	1	0.994532972966802
cagA	afib	13	1.00940019557411	0.984405958230917	1.03502904092138	0.464539982516583	1.01037369771586	0.732115293977521	1.01322236647023	0.422644873699032	1.01729241474944	0.634028011662689	0.971285706895927	0.196172648207725	0.181	1	0.994532972966802
ureA	atopic	10	0.983667493550873	0.941055557681809	1.02820894045007	0.46611631680921	0.899417190672724	0.106858826448497	0.983817194016149	0.562401733147247	0.990645057973605	0.919654728263554	0.138189522339938	0.334773781875797	0.384	1	0.994532972966802
cagA	ra	10	0.950551673375501	0.826827248002279	1.0927899218852	0.475972363205367	0.982886848160451	0.942868331575678	0.990482430902487	0.787074170432377	0.984450548079735	0.891535903921947	0.883399854733893	5.02898505229562e-11	0.001	1	0.994532972966802
vacA	pancan	15	0.961343592094806	0.8618280802527	1.07235018588715	0.479500079200201	0.969845754039604	0.788727071670586	1.01138656740654	0.884516925030449	1.05310612867022	0.78766192660758	0.929095034525984	0.746271818901474	0.757	1	0.994532972966802
ureA	uc	10	0.963531703312734	0.868373763423544	1.06911721932796	0.483773792617549	1.22474167618039	0.20281820489499	0.939935897286201	0.367350114798444	0.920475075213484	0.682672550044439	0.118046311607784	0.36933257965318	0.403	1	0.994532972966802
hpylori_general	cad	9	1.05868681451199	0.901492658585474	1.24329106903678	0.486789441369231	1.25438502555678	0.392116060735561	1.06345358330188	0.557035293359558	1.25034477416617	0.285465096734085	0.491525326539847	0.228346713566196	0.237	1	0.994532972966802
vacA	atopic	14	1.01114131914708	0.979837323036889	1.0434454202231	0.489857933857974	1.00690742956089	0.846271985228943	0.990072747842321	0.661190901521152	0.974542478912531	0.627093427682132	0.892776236024348	0.411456259311167	0.408	1	0.994532972966802
catalase	ms	4	0.959613376059984	0.85307783646079	1.0794534708974	0.492325403553973	0.848546247185617	0.359711997375607	0.97264360939868	0.699542055510214	0.969449598983548	0.84438053501628	0.43044290466046	0.32379712653252	0.419	1	0.994532972966802
catalase	stroke_isch	8	1.0153703437534	0.971506746906099	1.06121438503355	0.498405231669415	1.01392449451019	0.764789072361096	1.02421257533761	0.424080981285634	1.05895765793527	0.499737244248437	0.970787993664371	0.473392636689116	0.493	1	0.994532972966802
groEL	crc	4	1.03539940201144	0.924568430246096	1.15951603647152	0.547013645351962	0.992139692682575	0.970911980146257	0.972920058904943	0.705218174447304	0.975581611210455	0.87808871140727	0.834708744047612	0.444025438952582	0.47	1	0.994532972966802
cagA	alzheimer	10	1.00763127849321	0.982895544430736	1.03298951668959	0.54883656561965	1.04594830413677	0.179487790007826	1.00415131115541	0.804791772091616	1.00614761961811	0.872511990476019	0.216004526247652	0.55755851106208	0.567	1	0.994532972966802
hpylori_general	ida	10	0.934757770979066	0.745646131943167	1.17183212381011	0.558530589364511	1.15129178119679	0.716931899103143	0.891357328720415	0.439199017558646	0.915138678389922	0.777318004269774	0.575405269690884	0.7768577672896	0.809	1	0.994532972966802
